 	Frame #	x	y	FWHM	?F/F0	r^2	Duration (frames)	Duration (t½) (ms)	Spark Mass	Other statistics	 	Options	  
349	102	51.327	139.679	1.793	0.071	0.643	1	Infinity	0.491	 	 	 	 
350	103	125.653	54.67	4.161	0.062	0.548	2	NaN	5.36	 	 	 	 
353	104	43.33	25.615	1.332	0.087	0.674	1	Infinity	0.249	 	 	 	 
360	106	149.674	56.835	5.843	0.062	0.533	1	NaN	14.967	 	 	 	 
364	107	134.557	62.482	3.558	0.063	0.668	2	-7.21	3.412	 	 	 	 
366	107	50.895	68.299	2.321	35.012	0.769	1	NaN	527.727	 	 	 	 
370	108	64.95	162.131	2.104	0.154	0.527	1	NaN	1.727	 	 	 	 
371	109	27.21	79.024	5.491	0.2	0.584	2	-2.091	39.914	 	 	 	 
375	109	180.407	119.093	4.045	0.452	0.892	3	16.89	36.048	 	 	 	 
378	110	14.407	79.87	1.298	0.661	0.833	1	NaN	1.743	 	 	 	 
380	111	25.26	61.847	3.359	0.522	0.886	2	1001.2	23.865	 	 	 	 
383	112	123.117	45.318	2.209	0.081	0.532	1	NaN	1.056	 	 	 	 
384	112	51.861	70.565	2.29	0.52	0.875	2	144.552	7.533	 	 	 	 
385	112	195.134	115.157	1.331	0.092	0.618	1	NaN	0.261	 	 	 	 
390	112	54.218	141.784	3.433	0.261	0.904	1	Infinity	12.754	 	 	 	 
394	114	115.918	68.995	3.696	0.063	0.502	1	NaN	3.859	 	 	 	 
398	115	76.762	58.057	3.548	0.074	0.768	1	NaN	3.975	 	 	 	 
403	116	212.806	57.668	1.677	0.416	0.837	1	NaN	2.367	 	 	 	 
405	116	151.925	132.999	1.236	0.061	0.504	1	Infinity	0.139	 	 	 	 
411	118	142.042	58.163	4.005	0.07	0.745	1	NaN	5.412	 	 	 	 
414	119	131.668	56.508	4.15	0.045	0.6	1	NaN	3.892	 	 	 	 
422	121	208.206	63.968	1.782	5.432	0.724	1	NaN	37.065	 	 	 	 
424	122	146.154	54.354	5.08	0.057	0.668	1	NaN	9.017	 	 	 	 
429	122	53.711	137.887	3.223	0.097	0.756	1	NaN	3.903	 	 	 	 
